CDNOwner #Samples MeanDNS MeanTCP MeanSSL MeanWait MeanRX MeanTTFB
Edgecast 6 0.28 0.05 0.20 0.45 1.68 0.65
Google 69 0.04 0.02 0.17 0.18 0.41 0.35
ChinaCache 5 0.81 0.18 0.00 1.37 1.25 1.37
Highwinds 2 0.03 0.21 0.60 0.45 1.42 1.05
Fastly 11 0.05 0.04 0.25 1.14 0.69 1.39
Twitter 1 0.00 0.03 0.24 0.37 0.58 0.60
ChinaNetCenter 3 0.21 0.16 0.06 1.05 12.33 1.11
Yahoo 2 0.26 0.17 0.15 0.66 1.87 0.80
NetDNA 1 0.12 0.10 0.47 0.33 0.10 0.80
CDNetworks 1 0.00 0.04 0.00 0.08 1.00 0.08
Instart 2 0.04 0.02 0.25 0.71 1.18 0.95
Amazon 20 0.07 0.06 0.27 0.32 0.73 0.59
Facebook 3 0.06 0.03 0.20 0.22 0.35 0.43
Akamai 76 0.11 0.05 0.14 0.41 1.32 0.56
WordPress 1 0.00 0.04 0.27 0.17 0.48 0.44
Level 1 0.00 0.16 0.00 0.33 0.81 0.33
